Date,Post ID,Type,Lifetime Post Total Impressions,Lifetime Post Total Reach,Lifetime Total Video Views,Lifetime Unique Video Views,Posted,Lifetime Total 30-Second Views,year,month,source,yearStr
8/16/2019,163815626997995_2379531058759763,SharedVideo,197,148,58,58,8/16/2019 11:55,0,2019,8,Facebook,2019
9/5/2019,163815626997995_2414672348578967,SharedVideo,196,157,22,22,9/5/2019 10:26,0,2019,9,Facebook,2019
8/25/2019,163815626997995_2394687233910812,SharedVideo,600,465,212,199,8/25/2019 5:55,0,2019,8,Facebook,2019
7/4/2019,163815626997995_2306334576079412,SharedVideo,307,210,47,43,7/4/2019 7:58,0,2019,7,Facebook,2019
8/26/2019,163815626997995_2396871453692390,SharedVideo,152,115,39,39,8/26/2019 9:44,0,2019,8,Facebook,2019
11/11/2019,163815626997995_2544941092218758,Video,143,139,37,34,11/11/2019 9:43,1,2019,11,Facebook,2019
11/21/2019,163815626997995_442777316441180,Video,432,384,167,129,11/21/2019 16:01,55,2019,11,Facebook,2019
10/16/2019,163815626997995_2660835784031583,Video,2928,2285,788,730,10/16/2019 16:00,85,2019,10,Facebook,2019
9/25/2019,163815626997995_516966732370029,Video,646,403,166,132,9/25/2019 16:01,45,2019,9,Facebook,2019
7/13/2020,163815626997995_3100209363358592,SharedVideo,248,225,31,30,7/13/2020 7:41,0,2020,7,Facebook,2020
9/9/2020,163815626997995_3268804819832378,SharedVideo,92,85,13,13,9/9/2020 7:19,0,2020,9,Facebook,2020
7/21/2020,163815626997995_955219121616822,Video,481,419,127,111,7/21/2020 14:00,32,2020,7,Facebook,2020
8/27/2020,163815626997995_315939189682664,Video,320,273,65,58,8/27/2020 14:00,21,2020,8,Facebook,2020
8/5/2020,163815626997995_341645600563706,Video,470,428,118,106,8/5/2020 14:00,37,2020,8,Facebook,2020
7/9/2020,163815626997995_604032953849979,Video,438,369,117,98,7/9/2020 14:00,25,2020,7,Facebook,2020
6/25/2020,163815626997995_274170123791143,Video,446,381,131,97,6/25/2020 14:00,41,2020,6,Facebook,2020
6/17/2020,163815626997995_2700080293429895,Video,2540,2392,384,322,6/17/2020 14:00,123,2020,6,Facebook,2020
7/2/2020,163815626997995_225096068458728,Video,792,669,205,181,7/2/2020 14:30,60,2020,7,Facebook,2020
8/26/2020,163815626997995_3226448280734699,SharedVideo,199,193,56,54,8/26/2020 8:42,0,2020,8,Facebook,2020
6/30/2020,163815626997995_2351117388522924,Video,436,335,162,119,6/30/2020 14:00,49,2020,6,Facebook,2020
8/20/2020,163815626997995_3132922820119077,Video,397,341,102,88,8/20/2020 14:00,35,2020,8,Facebook,2020
7/31/2020,163815626997995_3151439228235605,SharedVideo,99,96,21,20,7/31/2020 8:44,0,2020,7,Facebook,2020
9/24/2020,163815626997995_328542921772260,Video,865,823,208,175,9/24/2020 14:00,45,2020,9,Facebook,2020
8/28/2020,163815626997995_3233012440078283,Video,135,115,19,19,8/28/2020 12:17,1,2020,8,Facebook,2020
